Ad ID,ad_type,Product/Service Name,category,target_audience,platform,Impressions,Clicks,Conversions,ad_spend,Revenue,ad_duration,Location,Date
41,Product-Based,Insurance,Entertainment,Seniors,TV,4883,9151,759,4653.42,1731.93,12,Berlin,02-01-2024 16:00
42,Service-Based,E-commerce Platform,E-commerce,Teens,TV,26299,4058,110,8961.98,41084.63,16,Berlin,02-01-2024 17:00
43,Service-Based,Smartphone,Food & Beverage,Students,Radio,22907,5793,168,8363.86,29631.72,2,New York,02-01-2024 18:00
44,Product-Based,Education Course,Education,Professionals,Social Media,26511,7426,791,6109.27,1612.81,28,Sydney,02-01-2024 19:00
45,Product-Based,Education Course,E-commerce,Adults,Social Media,37770,278,56,5515.94,34583.29,17,New York,02-01-2024 20:00
46,Service-Based,Fitness Membership,Health & Fitness,Professionals,Social Media,48524,3356,893,2607.02,44728.96,22,Dubai,02-01-2024 21:00
47,Product-Based,Fitness Membership,Finance,Adults,Social Media,7101,1711,753,6464.6,46880.82,18,Sydney,02-01-2024 22:00
48,Service-Based,Insurance,Education,Students,Radio,37488,9019,172,9496.06,41127.34,5,Toronto,02-01-2024 23:00
49,Product-Based,Fitness Membership,Finance,Professionals,Billboard,35152,9196,252,2466.05,28710.13,8,New York,03-01-2024 00:00
50,Product-Based,Laptop,Health & Fitness,Adults,Print Media,45937,6002,160,7553.75,22640.15,5,Sydney,03-01-2024 01:00
51,Product-Based,Insurance,Finance,Students,Online,37515,455,487,1497.38,20993.24,2,Dubai,03-01-2024 02:00
52,Product-Based,Travel Package,Electronics,Professionals,Billboard,30314,7311,49,8378.7,1332.52,7,Dubai,03-01-2024 03:00
53,Product-Based,Gourmet Food Delivery,Electronics,Seniors,Print Media,43856,8307,988,7375.48,36818.59,14,London,03-01-2024 04:00
54,Product-Based,Gourmet Food Delivery,Entertainment,Students,Radio,41933,1083,671,5299.61,33990.64,22,New York,03-01-2024 05:00
55,Product-Based,Gourmet Food Delivery,Education,Professionals,Billboard,8548,8371,345,7069.14,10675.32,10,Mumbai,03-01-2024 06:00
56,Service-Based,Insurance,Entertainment,Seniors,Radio,41388,9057,665,2081.36,36215.99,2,London,03-01-2024 07:00
57,Service-Based,Fitness Membership,Finance,Students,Print Media,29606,9439,261,9533.49,19236.88,12,New York,03-01-2024 08:00
58,Service-Based,Home Security,Education,Seniors,Billboard,8362,8561,437,7047.61,45303.57,25,Dubai,03-01-2024 09:00
59,Service-Based,Fitness Membership,Electronics,Teens,Social Media,26336,5337,598,5019.96,45060.07,7,Toronto,03-01-2024 10:00
60,Product-Based,Insurance,Travel,Families,Print Media,40971,1737,401,9290.68,46053.57,26,Berlin,03-01-2024 11:00
61,Product-Based,Laptop,Travel,Adults,Billboard,43365,5034,260,7476.97,17525.09,27,Dubai,03-01-2024 12:00
62,Product-Based,Fitness Membership,Electronics,Adults,Online,41540,8263,942,5776,46263.76,6,London,03-01-2024 13:00
63,Service-Based,Insurance,Food & Beverage,Teens,TV,31021,5853,935,4679.06,39923.05,25,Dubai,03-01-2024 14:00
64,Product-Based,Gourmet Food Delivery,Health & Fitness,Seniors,Social Media,38765,6973,841,4669.14,29007.96,24,Berlin,03-01-2024 15:00
65,Service-Based,Fitness Membership,Finance,Families,TV,19130,776,795,3747.4,15924.29,4,London,03-01-2024 16:00
66,Service-Based,E-commerce Platform,Travel,Families,Print Media,45895,3067,187,7479.87,45684.78,5,London,03-01-2024 17:00
67,Product-Based,Smartphone,E-commerce,Professionals,TV,26717,8897,656,4134.4,31634.07,28,Toronto,03-01-2024 18:00
68,Product-Based,Smartphone,Travel,Professionals,Online,5479,3640,314,9722.5,30648.11,26,Sydney,03-01-2024 19:00
69,Product-Based,Gourmet Food Delivery,Electronics,Students,Social Media,42646,7374,211,7578.22,49471.74,19,Mumbai,03-01-2024 20:00
70,Service-Based,Home Security,Travel,Adults,Social Media,13368,6797,882,964.96,19510.42,22,Tokyo,03-01-2024 21:00
71,Service-Based,Gourmet Food Delivery,Electronics,Adults,Online,35691,8381,225,7578.58,12983.47,23,Berlin,03-01-2024 22:00
72,Product-Based,Home Security,Entertainment,Students,Billboard,31640,6433,590,6490.08,12579.46,1,Toronto,03-01-2024 23:00
73,Product-Based,Education Course,Electronics,Students,Online,47589,5227,863,9643.08,44998.19,4,Toronto,04-01-2024 00:00
74,Product-Based,Insurance,Education,Adults,Billboard,6532,1729,599,6233.98,13443.75,13,Los Angeles,04-01-2024 01:00
75,Product-Based,Laptop,E-commerce,Adults,Online,49419,4449,941,3313.42,45018.36,2,New York,04-01-2024 02:00
76,Service-Based,E-commerce Platform,E-commerce,Students,Print Media,48505,5601,825,2080.74,34830.91,23,Dubai,04-01-2024 03:00
77,Product-Based,Streaming Service,Health & Fitness,Teens,Radio,41146,8735,632,6518.96,27894.23,25,Los Angeles,04-01-2024 04:00
78,Service-Based,Education Course,Education,Professionals,Online,33930,5887,899,1061.78,43094.48,3,Berlin,04-01-2024 05:00
79,Product-Based,Insurance,Travel,Students,Social Media,36113,8784,466,7487.25,12401.8,24,Tokyo,04-01-2024 06:00
80,Product-Based,Fitness Membership,E-commerce,Families,Print Media,3431,3302,201,9379.47,49811.08,4,New York,04-01-2024 07:00
81,Product-Based,Smartphone,Health & Fitness,Professionals,TV,3523,7427,232,705.82,5270.42,20,Mumbai,04-01-2024 08:00
82,Service-Based,Gourmet Food Delivery,Security,Professionals,Radio,7990,2680,792,6489.68,44077.55,9,Tokyo,04-01-2024 09:00
83,Product-Based,Gourmet Food Delivery,Entertainment,Families,Social Media,26570,3721,446,3849.54,41400.29,29,Mumbai,04-01-2024 10:00
84,Service-Based,Fitness Membership,Finance,Adults,Billboard,1903,8610,52,1375.81,23993.16,17,Mumbai,04-01-2024 11:00
85,Service-Based,Fitness Membership,Travel,Adults,Billboard,14594,1961,387,931.46,36152.32,5,Toronto,04-01-2024 12:00
86,Product-Based,Laptop,Health & Fitness,Adults,TV,8536,6180,204,1749.12,5802.97,9,New York,04-01-2024 13:00
87,Service-Based,Insurance,Finance,Students,Billboard,44570,9302,383,6049.57,16171.85,14,Mumbai,04-01-2024 14:00
88,Service-Based,Home Security,Electronics,Seniors,Billboard,13228,119,22,5223.77,12913.19,11,Tokyo,04-01-2024 15:00
89,Service-Based,Laptop,Electronics,Professionals,Radio,46195,2671,86,3560.28,48029.25,19,Dubai,04-01-2024 16:00
90,Product-Based,Streaming Service,Electronics,Seniors,Billboard,44721,3779,967,2697.23,19803.35,27,Los Angeles,04-01-2024 17:00
91,Service-Based,Smartphone,Health & Fitness,Professionals,Billboard,12386,1189,676,3175.16,39013.68,28,Los Angeles,04-01-2024 18:00
92,Service-Based,Fitness Membership,Travel,Students,Print Media,6374,8805,70,4648.15,4234.07,19,Tokyo,04-01-2024 19:00
93,Service-Based,Fitness Membership,Food & Beverage,Teens,Billboard,10180,1531,505,7494.56,29692.06,26,Sydney,04-01-2024 20:00
94,Product-Based,Travel Package,Education,Teens,Radio,9230,5953,308,9466.58,16670.72,26,Sydney,04-01-2024 21:00
95,Product-Based,Smartphone,Electronics,Students,Radio,26748,4873,485,9078.87,21334.6,21,Toronto,04-01-2024 22:00
96,Service-Based,Home Security,Electronics,Teens,TV,38863,7987,921,4456.68,41199.33,11,London,04-01-2024 23:00
97,Product-Based,Laptop,Electronics,Seniors,Social Media,45361,4770,402,4627.89,13807.9,13,Sydney,05-01-2024 00:00
98,Service-Based,Travel Package,Finance,Adults,TV,17532,2119,823,2331.58,48841.03,8,New York,05-01-2024 01:00
99,Product-Based,E-commerce Platform,Finance,Students,TV,14165,5358,113,4689.73,19074.08,5,Toronto,05-01-2024 02:00
100,Service-Based,E-commerce Platform,Security,Adults,Billboard,43152,2027,972,8400.2,35429.33,9,London,05-01-2024 03:00
101,Product-Based,Gourmet Food Delivery,Electronics,Students,Print Media,28002,2805,996,2060.46,13265.85,4,Toronto,05-01-2024 04:00
102,Service-Based,Smartphone,Education,Teens,Print Media,2375,5242,47,2519.21,21373.18,1,Berlin,05-01-2024 05:00
103,Product-Based,Gourmet Food Delivery,Travel,Families,Social Media,42661,6699,156,5173.72,11303.01,8,London,05-01-2024 06:00
104,Service-Based,Education Course,Travel,Seniors,Social Media,39553,5033,679,7508.49,9211.56,7,Dubai,05-01-2024 07:00
105,Service-Based,Education Course,E-commerce,Families,Billboard,37787,2364,495,7479.88,35155.49,11,New York,05-01-2024 08:00
106,Service-Based,Streaming Service,Food & Beverage,Seniors,Billboard,46403,2922,228,9953.17,22700.57,5,Sydney,05-01-2024 09:00
107,Product-Based,E-commerce Platform,Entertainment,Adults,Online,29833,9796,924,2720.45,19300.62,5,New York,05-01-2024 10:00
108,Product-Based,Education Course,Education,Adults,Billboard,35237,1796,16,5085.17,37279.89,4,Toronto,05-01-2024 11:00
109,Product-Based,Travel Package,Security,Professionals,Print Media,36398,8526,525,3259.37,24351.38,25,New York,05-01-2024 12:00
110,Service-Based,Travel Package,Health & Fitness,Professionals,TV,17424,7909,716,6617.06,10014.49,4,Mumbai,05-01-2024 13:00
111,Product-Based,Streaming Service,Food & Beverage,Seniors,Print Media,7271,3689,129,6932.96,19036.35,1,New York,05-01-2024 14:00
112,Product-Based,Streaming Service,Finance,Professionals,Billboard,2037,3128,35,1663.7,49044.33,29,Los Angeles,05-01-2024 15:00
113,Service-Based,Home Security,Security,Adults,Online,18654,9994,522,2693.51,15770.29,15,New York,05-01-2024 16:00
114,Service-Based,Travel Package,Security,Teens,Print Media,34120,8523,749,4723.11,36234.3,11,London,05-01-2024 17:00
115,Product-Based,Insurance,E-commerce,Professionals,Social Media,19821,1100,881,8742.93,47272.38,13,Mumbai,05-01-2024 18:00
116,Product-Based,Streaming Service,Travel,Seniors,Social Media,8847,7494,154,4152.67,14824.26,7,Toronto,05-01-2024 19:00
117,Product-Based,Home Security,Food & Beverage,Seniors,TV,29637,9838,12,7870.93,35050.04,10,Tokyo,05-01-2024 20:00
118,Service-Based,Fitness Membership,Education,Students,Print Media,30100,6862,724,5727.03,5185.01,10,Los Angeles,05-01-2024 21:00
119,Service-Based,Education Course,Electronics,Teens,TV,2272,7393,14,9329.76,1157.64,11,Los Angeles,05-01-2024 22:00
120,Service-Based,Smartphone,Security,Adults,TV,18310,968,214,1971.34,42320.87,8,Los Angeles,05-01-2024 23:00
121,Product-Based,Smartphone,Health & Fitness,Seniors,Social Media,19427,8755,564,2960,16546.67,2,Tokyo,06-01-2024 00:00
122,Product-Based,E-commerce Platform,Food & Beverage,Seniors,Print Media,46818,8528,794,3828.9,9979.97,22,Sydney,06-01-2024 01:00
123,Service-Based,Education Course,Food & Beverage,Families,Social Media,24646,3195,912,9198.46,21283.31,3,Tokyo,06-01-2024 02:00
124,Service-Based,Smartphone,Entertainment,Seniors,Billboard,40787,258,16,7967.54,13863.07,26,Tokyo,06-01-2024 03:00
125,Service-Based,Smartphone,E-commerce,Students,Social Media,45100,743,909,8124.53,9273.76,2,New York,06-01-2024 04:00
126,Product-Based,Smartphone,Electronics,Professionals,Online,31866,9474,920,7303.27,22002.73,21,Tokyo,06-01-2024 05:00
127,Product-Based,Home Security,E-commerce,Students,Radio,23669,5009,63,4173.84,30946.45,12,Berlin,06-01-2024 06:00
128,Product-Based,Insurance,Education,Families,Radio,7188,3595,791,2108.05,16559.62,14,Toronto,06-01-2024 07:00
129,Service-Based,Home Security,Security,Teens,Social Media,31685,1941,292,874.78,13795.29,3,Dubai,06-01-2024 08:00
130,Service-Based,Streaming Service,Food & Beverage,Professionals,Social Media,40195,9654,106,6800.08,44583.03,9,London,06-01-2024 09:00
131,Service-Based,Education Course,Food & Beverage,Adults,Social Media,6210,4498,100,3459.57,6669.57,26,Toronto,06-01-2024 10:00
132,Service-Based,Fitness Membership,Finance,Seniors,TV,4703,4395,125,3890.79,1296.79,28,London,06-01-2024 11:00
133,Service-Based,Smartphone,Travel,Families,TV,37907,9330,454,620.22,31821.29,6,Sydney,06-01-2024 12:00
134,Service-Based,E-commerce Platform,Food & Beverage,Professionals,TV,29533,4154,913,2102.75,5725.4,3,Dubai,06-01-2024 13:00
135,Product-Based,Smartphone,Finance,Seniors,TV,14752,6290,39,4085.17,26638.31,28,New York,06-01-2024 14:00
136,Product-Based,Streaming Service,Education,Families,Radio,14078,5832,327,1005.45,16571.08,15,Mumbai,06-01-2024 15:00
137,Service-Based,Streaming Service,Health & Fitness,Seniors,Social Media,39499,2098,430,1285.69,39482.96,23,Berlin,06-01-2024 16:00
138,Product-Based,Gourmet Food Delivery,Health & Fitness,Adults,TV,41298,2913,262,9496.27,35646.27,12,New York,06-01-2024 17:00
139,Product-Based,Insurance,Health & Fitness,Teens,Online,4157,2293,329,3887.86,13269.43,10,Toronto,06-01-2024 18:00
140,Service-Based,Education Course,Travel,Students,Online,16278,9287,90,8935.1,30488.53,18,Tokyo,06-01-2024 19:00
141,Product-Based,Fitness Membership,Electronics,Seniors,Print Media,1570,2918,447,5666.67,4704.53,20,Los Angeles,06-01-2024 20:00
142,Product-Based,Insurance,Security,Students,Online,29901,4530,408,6861.64,22896.86,20,London,06-01-2024 21:00
143,Service-Based,Laptop,Health & Fitness,Families,TV,42930,9600,896,5704.1,5181.77,11,London,06-01-2024 22:00
144,Product-Based,Gourmet Food Delivery,Food & Beverage,Professionals,Social Media,17484,7493,266,2755.81,4452.26,24,Dubai,06-01-2024 23:00
145,Service-Based,Streaming Service,Electronics,Adults,Radio,19815,5061,165,1203.42,31713.54,28,Dubai,07-01-2024 00:00
146,Service-Based,Streaming Service,Travel,Professionals,Billboard,44310,6603,76,5079.17,10988.16,12,London,07-01-2024 01:00
147,Product-Based,Home Security,Entertainment,Teens,TV,15819,3958,53,4019.27,35670.83,11,New York,07-01-2024 02:00
148,Product-Based,Education Course,Education,Families,Radio,13366,9371,765,7268.34,49277.59,14,Toronto,07-01-2024 03:00
149,Product-Based,Streaming Service,Food & Beverage,Seniors,Online,32283,6672,703,6984.78,25056.84,25,Berlin,07-01-2024 04:00
150,Product-Based,Gourmet Food Delivery,Entertainment,Professionals,Radio,18641,763,148,2476.35,26177.34,19,Sydney,07-01-2024 05:00
151,Service-Based,Laptop,Food & Beverage,Adults,Radio,35825,3086,848,2285.47,23447.07,11,Berlin,07-01-2024 06:00
152,Product-Based,E-commerce Platform,Health & Fitness,Seniors,Social Media,13084,561,62,5495.96,23486.92,3,Toronto,07-01-2024 07:00
153,Service-Based,Home Security,Finance,Families,TV,17236,8223,524,9851.91,31167.22,25,Dubai,07-01-2024 08:00
154,Service-Based,Gourmet Food Delivery,Education,Students,Online,36773,7285,854,4544.05,14649.49,16,New York,07-01-2024 09:00
155,Product-Based,Gourmet Food Delivery,Food & Beverage,Seniors,Print Media,36266,7146,228,6377.38,20404.16,29,Tokyo,07-01-2024 10:00
156,Service-Based,Gourmet Food Delivery,Food & Beverage,Families,Radio,28134,9512,394,7280.51,1823.8,12,Los Angeles,07-01-2024 11:00
157,Product-Based,Home Security,E-commerce,Professionals,Online,14309,5098,984,9410.11,22969.56,13,Berlin,07-01-2024 12:00
158,Product-Based,Home Security,Food & Beverage,Teens,Online,23106,1314,491,9967.6,1120.25,26,Tokyo,07-01-2024 13:00
159,Service-Based,Smartphone,E-commerce,Professionals,Billboard,8508,245,901,5563.51,8942.38,12,London,07-01-2024 14:00
160,Product-Based,Education Course,Security,Students,TV,2423,9834,344,3923.72,28630.49,23,Mumbai,07-01-2024 15:00
161,Service-Based,Streaming Service,Electronics,Students,Print Media,32120,517,899,7824.27,10686.02,19,New York,07-01-2024 16:00
162,Product-Based,Laptop,Electronics,Students,Billboard,18608,4244,311,1517.54,33809.39,8,Berlin,07-01-2024 17:00
163,Product-Based,Gourmet Food Delivery,Health & Fitness,Students,TV,26758,6557,738,4841.32,43904.25,19,Los Angeles,07-01-2024 18:00
164,Service-Based,Travel Package,Health & Fitness,Students,Print Media,23069,581,861,4732.67,17776.34,17,New York,07-01-2024 19:00
165,Product-Based,Streaming Service,Education,Adults,TV,45779,1296,333,2201.57,37777.33,11,Dubai,07-01-2024 20:00
166,Service-Based,Home Security,Education,Teens,Online,27106,9872,477,9824.43,19631.15,13,Toronto,07-01-2024 21:00
167,Product-Based,Home Security,Food & Beverage,Families,Online,47065,2469,594,1042.21,4818.8,20,Los Angeles,07-01-2024 22:00
168,Product-Based,Home Security,Electronics,Professionals,Social Media,7287,8183,276,5962.12,40936.96,9,Dubai,07-01-2024 23:00
169,Service-Based,E-commerce Platform,Finance,Seniors,Online,49326,2727,670,5756.67,47251.17,22,Tokyo,08-01-2024 00:00
170,Service-Based,Streaming Service,Entertainment,Students,Print Media,22534,9191,125,6640.08,28564.22,6,Sydney,08-01-2024 01:00
171,Product-Based,Streaming Service,Entertainment,Teens,Print Media,45648,2185,490,1919.78,45249.98,19,Toronto,08-01-2024 02:00
172,Product-Based,Insurance,Education,Families,Social Media,18183,2793,887,3275.44,49301.26,18,Toronto,08-01-2024 03:00
173,Product-Based,Smartphone,Education,Teens,TV,6331,1956,486,3197.99,14569.46,5,Sydney,08-01-2024 04:00
174,Service-Based,Fitness Membership,Education,Families,Social Media,32391,797,797,5527.71,5336.42,2,Los Angeles,08-01-2024 05:00
175,Product-Based,Insurance,E-commerce,Professionals,TV,26589,1698,974,5655.19,43786.51,14,Tokyo,08-01-2024 06:00
176,Service-Based,Laptop,Travel,Families,TV,44567,7377,118,5726.06,3571.71,28,Berlin,08-01-2024 07:00
177,Service-Based,Smartphone,Entertainment,Teens,Social Media,7284,3675,603,1254.98,2112.84,29,London,08-01-2024 08:00
178,Product-Based,Travel Package,Entertainment,Seniors,Radio,19878,8433,653,6254.58,35871.93,21,Berlin,08-01-2024 09:00
179,Product-Based,Fitness Membership,Finance,Families,Billboard,35528,7775,25,4776.13,10549.58,19,Los Angeles,08-01-2024 10:00
180,Service-Based,Laptop,E-commerce,Teens,Online,6172,4832,384,3989.42,26904.47,2,Sydney,08-01-2024 11:00
181,Service-Based,Smartphone,Entertainment,Students,Online,31559,6185,555,2641.08,41525.2,7,Mumbai,08-01-2024 12:00
182,Product-Based,Travel Package,Travel,Adults,TV,30009,5891,315,4399.08,5931.38,24,Los Angeles,08-01-2024 13:00
183,Service-Based,Insurance,Security,Seniors,Social Media,15931,4851,429,1185.3,22993.84,1,Tokyo,08-01-2024 14:00
184,Product-Based,Smartphone,Security,Teens,Print Media,6658,6703,293,2721.77,5182.64,13,Sydney,08-01-2024 15:00
185,Product-Based,Insurance,Entertainment,Professionals,Radio,18344,8446,718,9245.46,44407.19,11,New York,08-01-2024 16:00
186,Service-Based,Fitness Membership,E-commerce,Families,Billboard,5694,8821,698,6057.41,27840.18,14,London,08-01-2024 17:00
187,Service-Based,E-commerce Platform,Entertainment,Professionals,Billboard,37058,8222,868,2260.82,1273.79,22,New York,08-01-2024 18:00
188,Service-Based,E-commerce Platform,Education,Professionals,Social Media,10622,5659,39,9070.28,32306.68,12,Mumbai,08-01-2024 19:00
189,Product-Based,E-commerce Platform,Education,Seniors,Print Media,20325,6470,406,5640.13,10361.92,16,Dubai,08-01-2024 20:00
190,Product-Based,Streaming Service,Security,Families,Print Media,40912,5659,824,2985.46,5152.35,26,Berlin,08-01-2024 21:00
191,Product-Based,Fitness Membership,E-commerce,Professionals,Online,29931,2642,500,3024.52,45072.39,16,Los Angeles,08-01-2024 22:00
192,Product-Based,Streaming Service,Entertainment,Families,Radio,17352,3994,60,6742.07,40922.52,19,Tokyo,08-01-2024 23:00
193,Service-Based,Streaming Service,Food & Beverage,Teens,TV,8119,1419,765,4301.77,3917.42,12,Toronto,09-01-2024 00:00
194,Service-Based,Smartphone,Travel,Students,Print Media,34209,3045,315,9187.91,5080.01,28,London,09-01-2024 01:00
195,Product-Based,Travel Package,Finance,Adults,Social Media,3803,7320,285,2299.89,39197.14,26,Mumbai,09-01-2024 02:00
196,Service-Based,Home Security,Travel,Students,Social Media,14204,4385,634,6936.1,13930.46,18,Toronto,09-01-2024 03:00
197,Service-Based,Laptop,Finance,Students,Print Media,20939,6361,719,8778.4,40871.4,28,Tokyo,09-01-2024 04:00
198,Service-Based,Smartphone,E-commerce,Professionals,TV,42877,1410,759,1622.18,1603.4,24,Toronto,09-01-2024 05:00
199,Product-Based,Fitness Membership,Entertainment,Students,Social Media,2833,1794,82,2234.11,22529.96,3,Sydney,09-01-2024 06:00
200,Service-Based,Laptop,E-commerce,Families,Social Media,8536,7540,399,2979.82,47478.35,24,Los Angeles,09-01-2024 07:00
201,Product-Based,Laptop,Finance,Adults,Online,1230,784,736,6083.22,18140.93,26,Mumbai,09-01-2024 08:00
202,Product-Based,Education Course,Education,Seniors,Print Media,31111,253,890,2560.73,14179.28,28,Los Angeles,09-01-2024 09:00
203,Service-Based,Insurance,Security,Professionals,TV,28511,542,627,8956.23,7753.66,20,London,09-01-2024 10:00
204,Product-Based,Gourmet Food Delivery,Security,Seniors,Social Media,32458,9444,637,8662.5,15979.28,29,Los Angeles,09-01-2024 11:00
205,Product-Based,Education Course,Health & Fitness,Professionals,Print Media,8244,5491,367,9576.36,5119.85,16,Los Angeles,09-01-2024 12:00
206,Service-Based,Home Security,Finance,Professionals,Social Media,43253,2142,524,3281.45,11105.45,19,New York,09-01-2024 13:00
207,Product-Based,Home Security,Electronics,Teens,Print Media,28171,4398,974,3380.69,22065.1,5,Tokyo,09-01-2024 14:00
208,Product-Based,Smartphone,Food & Beverage,Seniors,Online,22743,2464,935,9206.7,13947.08,10,Los Angeles,09-01-2024 15:00
209,Product-Based,E-commerce Platform,E-commerce,Teens,Print Media,10895,7577,525,1622.08,23048.08,28,Los Angeles,09-01-2024 16:00
210,Product-Based,Education Course,Education,Families,TV,6794,2902,535,3649.36,49739.74,11,Sydney,09-01-2024 17:00
211,Product-Based,Travel Package,Health & Fitness,Students,Radio,5910,305,74,3329.14,11481.61,22,New York,09-01-2024 18:00
212,Service-Based,Travel Package,E-commerce,Families,TV,14186,7439,517,4602.32,48981.78,27,Berlin,09-01-2024 19:00
213,Product-Based,E-commerce Platform,Finance,Teens,Print Media,12692,3196,741,1682.08,3218.03,22,Tokyo,09-01-2024 20:00
214,Product-Based,Home Security,Finance,Professionals,Print Media,24399,3483,783,4407.86,29676.97,29,Berlin,09-01-2024 21:00
215,Service-Based,Travel Package,Security,Teens,Social Media,39190,2201,899,731.88,23618.06,15,Los Angeles,09-01-2024 22:00
216,Service-Based,Travel Package,Security,Seniors,Social Media,32359,4757,152,8522.42,19854.29,10,New York,09-01-2024 23:00
